Time,Symbol,Message
04/07/2017 08:59:30,CLNT,$CLNT high relative trades 92.780149 times yestersday at 08:59 (30 second test)
04/07/2017 08:57:00,CETC,$CETC high relative trades 18.292323 times yestersday at 08:57 (30 second test)
04/07/2017 08:56:51,CCCR,$CCCR high relative trades 52.685714 times yestersday at 08:56 (30 second test)
04/07/2017 08:53:30,CETC,$CETC high relative trades 18.300399 times yestersday at 08:53 (30 second test)
04/07/2017 08:53:21,CCCR,$CCCR high relative trades 45.807143 times yestersday at 08:53 (30 second test)
04/07/2017 08:53:15,CLNT,$CLNT high relative trades 91.613661 times yestersday at 08:53 (30 second test)
04/07/2017 08:50:30,CETC,$CETC high relative trades 18.168831 times yestersday at 08:50 (30 second test)
04/07/2017 08:50:30,CLNT,$CLNT high relative trades 90.79936 times yestersday at 08:50 (30 second test)
04/07/2017 08:50:21,CCCR,$CCCR high relative trades 40.242857 times yestersday at 08:50 (30 second test)
04/07/2017 08:47:00,CETC,$CETC high relative trades 17.91992 times yestersday at 08:47 (30 second test)
04/07/2017 08:47:00,CLNT,$CLNT high relative trades 90.920771 times yestersday at 08:47 (30 second test)
04/07/2017 08:46:51,CCCR,$CCCR high relative trades 33.571429 times yestersday at 08:46 (30 second test)
04/07/2017 08:43:30,CETC,$CETC high relative trades 17.731732 times yestersday at 08:43 (30 second test)
04/07/2017 08:43:30,CLNT,$CLNT high relative trades 90.405782 times yestersday at 08:43 (30 second test)
04/07/2017 08:43:21,CCCR,$CCCR high relative trades 29.064286 times yestersday at 08:43 (30 second test)
04/07/2017 08:40:00,CETC,$CETC high relative trades 17.486459 times yestersday at 08:40 (30 second test)
04/07/2017 08:40:00,CLNT,$CLNT high relative trades 90.11242 times yestersday at 08:40 (30 second test)
04/07/2017 08:39:51,CCCR,$CCCR high relative trades 23.028571 times yestersday at 08:39 (30 second test)
04/07/2017 08:37:00,CETC,$CETC high relative trades 17.172518 times yestersday at 08:37 (30 second test)
04/07/2017 08:37:00,CLNT,$CLNT high relative trades 89.731263 times yestersday at 08:37 (30 second test)
04/07/2017 08:36:51,CCCR,$CCCR high relative trades 21.928571 times yestersday at 08:36 (30 second test)
04/07/2017 08:33:30,CETC,$CETC high relative trades 17.005015 times yestersday at 08:33 (30 second test)
04/07/2017 08:33:30,CLNT,$CLNT high relative trades 88.971092 times yestersday at 08:33 (30 second test)
04/07/2017 08:33:21,CCCR,$CCCR high relative trades 20.435714 times yestersday at 08:33 (30 second test)
04/07/2017 08:30:00,CETC,$CETC high relative trades 16.869609 times yestersday at 08:30 (30 second test)
04/07/2017 08:30:00,CLNT,$CLNT high relative trades 87.813704 times yestersday at 08:30 (30 second test)
04/07/2017 08:29:51,CCCR,$CCCR high relative trades 17.971429 times yestersday at 08:29 (30 second test)
04/07/2017 08:27:00,CETC,$CETC high relative trades 16.675025 times yestersday at 08:27 (30 second test)
04/07/2017 08:27:00,CLNT,$CLNT high relative trades 86.328694 times yestersday at 08:27 (30 second test)
04/07/2017 08:26:51,CCCR,$CCCR high relative trades 17.407143 times yestersday at 08:26 (30 second test)
04/07/2017 08:24:00,CLNT,$CLNT high relative trades 85.237687 times yestersday at 08:24 (30 second test)
04/07/2017 08:23:30,CETC,$CETC high relative trades 16.391174 times yestersday at 08:23 (30 second test)
04/07/2017 08:23:21,CCCR,$CCCR high relative trades 15.192857 times yestersday at 08:23 (30 second test)
04/07/2017 08:21:00,CLNT,$CLNT high relative trades 83.87152 times yestersday at 08:21 (30 second test)
04/07/2017 08:20:30,CETC,$CETC high relative trades 15.781344 times yestersday at 08:20 (30 second test)
04/07/2017 08:18:00,CLNT,$CLNT high relative trades 81.879015 times yestersday at 08:18 (30 second test)
04/07/2017 08:17:30,CETC,$CETC high relative trades 15.009027 times yestersday at 08:17 (30 second test)
04/07/2017 08:14:30,CLNT,$CLNT high relative trades 79.979657 times yestersday at 08:14 (30 second test)
04/07/2017 08:11:00,CLNT,$CLNT high relative trades 79.695931 times yestersday at 08:11 (30 second test)
04/07/2017 08:07:30,CLNT,$CLNT high relative trades 79.379015 times yestersday at 08:07 (30 second test)
04/07/2017 08:04:30,CLNT,$CLNT high relative trades 79.321199 times yestersday at 08:04 (30 second test)
04/07/2017 08:01:30,CLNT,$CLNT high relative trades 79.523656 times yestersday at 08:01 (30 second test)
04/07/2017 07:58:00,CLNT,$CLNT high relative trades 79.096774 times yestersday at 07:58 (30 second test)
04/07/2017 07:54:30,CLNT,$CLNT high relative trades 78.530108 times yestersday at 07:54 (30 second test)
04/07/2017 07:51:00,CLNT,$CLNT high relative trades 78.132258 times yestersday at 07:51 (30 second test)
04/07/2017 07:47:30,CLNT,$CLNT high relative trades 77.651613 times yestersday at 07:47 (30 second test)
04/07/2017 07:44:00,CLNT,$CLNT high relative trades 76.606028 times yestersday at 07:44 (30 second test)
04/07/2017 07:40:30,CLNT,$CLNT high relative trades 75.871905 times yestersday at 07:40 (30 second test)
04/07/2017 07:37:30,CLNT,$CLNT high relative trades 75.630388 times yestersday at 07:37 (30 second test)
04/07/2017 07:34:00,CLNT,$CLNT high relative trades 75.128233 times yestersday at 07:34 (30 second test)
04/07/2017 07:31:00,CLNT,$CLNT high relative trades 74.657328 times yestersday at 07:31 (30 second test)
04/07/2017 07:28:00,CLNT,$CLNT high relative trades 74.255388 times yestersday at 07:28 (30 second test)
04/07/2017 07:25:00,CLNT,$CLNT high relative trades 73.709817 times yestersday at 07:25 (30 second test)
04/07/2017 07:21:30,CLNT,$CLNT high relative trades 72.627832 times yestersday at 07:21 (30 second test)
04/07/2017 07:18:00,CLNT,$CLNT high relative trades 70.868393 times yestersday at 07:18 (30 second test)
04/07/2017 07:14:30,CLNT,$CLNT high relative trades 69.67206 times yestersday at 07:14 (30 second test)
04/07/2017 07:11:30,CLNT,$CLNT high relative trades 69.100324 times yestersday at 07:11 (30 second test)
04/07/2017 07:08:00,CLNT,$CLNT high relative trades 67.586393 times yestersday at 07:08 (30 second test)
04/07/2017 07:04:30,CLNT,$CLNT high relative trades 65.603037 times yestersday at 07:04 (30 second test)
04/07/2017 06:57:30,CLNT,$CLNT high relative trades 63.159783 times yestersday at 06:57 (30 second test)
04/07/2017 06:54:00,CLNT,$CLNT high relative trades 58.355435 times yestersday at 06:54 (30 second test)
04/07/2017 06:51:00,CLNT,$CLNT high relative trades 56.834423 times yestersday at 06:51 (30 second test)
04/07/2017 06:47:30,CLNT,$CLNT high relative trades 53.670665 times yestersday at 06:47 (30 second test)
04/07/2017 06:44:30,CLNT,$CLNT high relative trades 47.184297 times yestersday at 06:44 (30 second test)
04/07/2017 06:41:30,CLNT,$CLNT high relative trades 43.396947 times yestersday at 06:41 (30 second test)
04/07/2017 06:38:00,CLNT,$CLNT high relative trades 37.712882 times yestersday at 06:38 (30 second test)
04/07/2017 06:37:57,NVFY,$NVFY high relative trades 57.831241 times yestersday at 06:37 (30 second test)
04/07/2017 06:35:00,CLNT,$CLNT high relative trades 32.318777 times yestersday at 06:35 (30 second test)
04/07/2017 06:34:57,NVFY,$NVFY high relative trades 64.359813 times yestersday at 06:34 (30 second test)
04/07/2017 06:31:30,CLNT,$CLNT high relative trades 26.503834 times yestersday at 06:31 (30 second test)
04/07/2017 06:31:12,NVFY,$NVFY high relative trades 76.780899 times yestersday at 06:31 (30 second test)
